author,comment,sentiment,confidence
@ztleatherXXX,"目前看過最淺顯易懂的GPT原理介紹影片，
所以我的理解是，目前ChatGPT只能挑選大眾化的語言習慣，這些資訊都是網路大多數人讚同的，但大多數人贊同的事並不代表絕對的正確性，ChatGPT所表現的「創意」也是在這樣的基礎上在加一些亂數決定的？這樣不就限制了所謂的創意，用大多數人贊同的資訊去做排列組合，而忽略掉一些少數但卻更專業更有開拓性的資訊了",positive,"{'positive': 0.79, 'neutral': 0.15, 'negative': 0.06}"
@user-qo1mt8ko7j,"當然是要讓每個人都有GPT 然後GPT與GPT之間在去交談交換訊息 這樣每個人的GPT都能有獨特的原始資料加上可以交談交換訊息來獲取資料
一個並不聰明 集合起來才變得越加聰明。類神經網路",neutral,"{'positive': 0.18, 'neutral': 0.79, 'negative': 0.03}"
@BruceChou2014,"LLM的思考鏈這段的解讀與原文不同，原論文中寫的是「As for limitations, we first qualify that although chain of thought emulates the thought processes of human reasoners, this does not answer whether the neural network is actually “reasoning,” which we leave as an open question.」，很明顯作者想說的是雖然可以觀察到chain-of-thought prompting能有效提升輸出的品質，但是無法驗證模型是否真的具有推理的的能力。",negative,"{'positive': 0.09, 'neutral': 0.13, 'negative': 0.78}"
@GuGu-wg7si,"ChatGPT距離理想還差太遠
玩文字冒險會很明顯地受限於他記憶的長度難以順利進行
拿來問問題很難保證答案的正確性
用來聊天的機器人味還是很重",negative,"{'positive': 0.02, 'neutral': 0.03, 'negative': 0.95}"
@doutdeszoo,"徐州八孩問五次編了五個故事、問馬保國出來馬英九...
想說歷年經典賽的成績是固定的，沒想到竟然還是錯

雖然ChatGPT錯誤很多，但比找人聊還博學，比Google網海速度快，而且可以訓練自己問問題。真希望電影裏的AI人形機器人，在這一代能問世，不然也沒有下一代了。",mixed,"{'positive': 0.23, 'neutral': 0.14, 'negative': 0.63}"
@op9000977,我很好奇這樣的語言模型能不能有長期記憶功能 不然每次玩文字冒險都會前後矛盾 ,negative,"{'positive': 0.01, 'neutral': 0.04, 'negative': 0.95}"
@richard9815,原來GPT衍伸的服務有這麼多樣了… 好好運用這些工具讓生活更有效率些🥹,positive,"{'positive': 0.93, 'neutral': 0.07, 'negative': 0.0}"
@hc9984,片子腳本最後還有專家審稿機制，我覺得是非常好的示範。,positive,"{'positive': 0.99, 'neutral': 0.01, 'negative': 0.0}"
@quit2100,應該是讓GPT學習到可以預測未來、寫出預言吧。,neutral,"{'positive': 0.09, 'neutral': 0.9, 'negative': 0.01}"
@user-wy5xl1td7l,我問他如果輪椅的使用者加入腳踏車踏板是否更有幫助時， 他的回覆居然是對於部分使用者有一定程度的幫助，但對於腳功能受損的人沒有幫助時 我就知道這個東西的未來有多不可限量,negative,"{'positive': 0.03, 'neutral': 0.02, 'negative': 0.95}"
@truthjustice8886,不知五年以後AI 將發展到什麼程度? 如果AI 儲存的資料正確，而且博學多聞，編劇、記者... 這些靠寫文章吃飯的職位會不會消失? 如果以後AI 可以寫出一本像樣的碩士論文，那研究生的工作就是輸入資料而已。,neutral,"{'positive': 0.05, 'neutral': 0.92, 'negative': 0.03}"
@emmanuelbartholomew90,我感覺 統計模型變大而開始產生思維鏈  這部分好像隱含着很重要的道理,neutral,"{'positive': 0.01, 'neutral': 0.98, 'negative': 0.0}"
@PhoenixWu2011,想更深入了解這些 AI 建構的原理，並於自己生活各情境上應用，進一步改善自己的生活,neutral,"{'positive': 0.35, 'neutral': 0.64, 'negative': 0.0}"
@user-yk1cb3fm2v,哇！講的很好耶，連GPT每代之間的差異和資料收集都有提到,positive,"{'positive': 0.99, 'neutral': 0.01, 'negative': 0.0}"
@user-xw7oj5gr7u,ChatGPT和bing在文稿修正和創意發想上真心好用！想找人聊心事但發現自己沒朋友時也很推薦哈哈哈,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
@user-yc5yf6mh6x,"夏日大作戰裡面有個自主AI""愛的機器""  專門為軍事使用  希望不會成真.....  願人類的防火牆蓋得夠高",positive,"{'positive': 0.82, 'neutral': 0.1, 'negative': 0.08}"
@explorerjk,"如果，能把B與G融合
然後將所有發電廠，電子，機械丟進它的數據庫
看它能不能成為發明家？
發明新能源？",neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@338ktter8,希望GPT-4可以修正之前版本的缺點，在不傷害全球人類和物種的共同利益下，創造出能在人文，藝術，人種，性別，宗教，文學，隱私，政治這些方面大輻改善的 Chat GPT-5 。,negative,"{'positive': 0.12, 'neutral': 0.01, 'negative': 0.87}"
@hudsonvan4322,解釋得很好欸 這影片品質堪比台大 AI 通識課,positive,"{'positive': 0.97, 'neutral': 0.02, 'negative': 0.0}"
@feng6964,我希望ChatGPT超越人類思考~,neutral,"{'positive': 0.12, 'neutral': 0.87, 'negative': 0.01}"
@rokylu7830,这次ChatGPT的厉害在于它能理解你提出的问题，你讲的描述，进化空间很大，可以解决大部分电脑工作。比如工程行业，用户只要描述出设备结构，然后直接出图,neutral,"{'positive': 0.22, 'neutral': 0.78, 'negative': 0.0}"
@MADorMad,ChatGPT 並不聰明，他只會蒐集數據並利用模型取得最高正確率的答案提供給你，並以口語化的方式呈現，當然這並不代表提供的答案就是正確的，當取得的數據多數是錯誤的，那麼給的答案就會錯誤。,negative,"{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}"
@user-hj8vo1nb1r,我關於最後的問題，我這個人比較奇怪，我想要測試他對時間的感知能力，如果我要求他延遲一段時間回答我的問題，他是可以做到的，但是如果我一次輸入兩個問題再將延遲回答的指令放在兩個問題中間，AI做不到再回答第一個問題後等待一段時間再回答第二個問題，兩個答案會依順序跑出來，沒有時間間隔，我承認我問問題的方式有點反直覺但應該不是無法理解的問題吧,negative,"{'positive': 0.07, 'neutral': 0.41, 'negative': 0.52}"
@rockchuang1,"披薩上面最該放的配料那一段讓我想起賭俠的橋段。

路人：電腦分析，百分之七十八是A士，百分之二十是四，百分之五是十。",neutral,"{'positive': 0.08, 'neutral': 0.91, 'negative': 0.01}"
@s888865,感謝介紹，太多不是科普的yt在講這個了， 一直等你們介紹,positive,"{'positive': 0.99, 'neutral': 0.01, 'negative': 0.0}"
@0986640415,"當gbt可以代替那些在政客回答出政客無法回答的事情時，我們就會成為AI眼中的AI
gbt說不定還可以協助警方破解那些多年未破的懸案",positive,"{'positive': 0.62, 'neutral': 0.25, 'negative': 0.13}"
@freedom753,GPT的T應該是 transformer的T才對，基於當初google提出的transformer模型,neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@DK-tx9mg,说得很对，我和从事ai的朋友请教过chatgpt，他说了一个简单易懂的原理，目前技术就是语言接龙，如果不加以一定限制，接龙的可变性会不可控，会给人ai有自主意识的错觉，也就能理解bing要争当小三和之前lamda这样的的情况。,positive,"{'positive': 0.53, 'neutral': 0.43, 'negative': 0.04}"
@kagami3665,New Bing  回答的錯誤率還是很高，必須要用 google核對他的所有答案,negative,"{'positive': 0.0, 'neutral': 0.04, 'negative': 0.95}"
@stari8763,"13:12  的圖很有意思 將世界分成6個人種   分別是亞洲人印度裔 拉丁裔  白人黑人和中東人
結果資料參數量  越大   負面形容 白人黑人  中東人 是同一掛的   差不多爛 ,   而前3各族群好很多
這才是 OPEN  AI   擔心的癥結點  (  白黑同等  情何以堪 )",positive,"{'positive': 0.53, 'neutral': 0.03, 'negative': 0.44}"
@user-qw7fz8ti6o,"不凡的驚異   笑死XD

我選擇D 我想用GPT 協助寫遊戲 這樣可以大幅度縮減開發時間",positive,"{'positive': 0.95, 'neutral': 0.02, 'negative': 0.02}"
@joanhuang9498,ChatGPT只能拿來問0/1的事情，一些觀念/想法問題會有所不同。用繁體與簡體問一些爭議問題就會發現差異了,negative,"{'positive': 0.0, 'neutral': 0.21, 'negative': 0.79}"
@user-fx2kb7oc2w,個人經驗若非出于本性樂於學習，哪怕是因需要而學習，都是痛苦的。老高的訂閱數如此高，可些許映證我上述見解，聽說書絕大數比看書來的輕鬆有趣。就今日話題，主持人已盡可能通俗的聊了，但仍有很大數人....,mixed,"{'positive': 0.5, 'neutral': 0.01, 'negative': 0.5}"
@drowseworm,對ai程式很有興趣，想要多了解跟嘗試,positive,"{'positive': 0.93, 'neutral': 0.06, 'negative': 0.01}"
@alexwang1640,"想要找出能直接指導GPT寫
出公文和國考申論題的詠唱咒文，如果做的到會顛覆現行考試制度，甚至能讓整個社會的人才選拔重新洗牌，讓有想法但是沒技術的人不會為了考試技巧、無開創性的瑣事浪費生命。",positive,"{'positive': 0.41, 'neutral': 0.24, 'negative': 0.35}"
@slowlypleasebeny8406,"運用腳本題綱 還不錯  內容與還需多方求證 速求結論容易砸鍋 
畢竟AI餵養的資料海量網路資訊 最怕以訛傳訛 變約定成俗 與真實越差越遠~~資料引用仍要慎重 錯誤資訊學問夾雜在文字裡面 很不容易發現",negative,"{'positive': 0.27, 'neutral': 0.01, 'negative': 0.72}"
@Will_Huang,05:34 這裡的 GPT 全名寫錯了，全名應該是 Generative Pre-trained Transformer,negative,"{'positive': 0.0, 'neutral': 0.06, 'negative': 0.94}"
@chuangshen3708,5:28 GPT的全名是Generative pre-trained transformers 不只是Generative pre-training吧,neutral,"{'positive': 0.01, 'neutral': 0.98, 'negative': 0.0}"
@hinhangsiu6783,近年美英等半導體工業強國，着手研發人工智能專用晶片：IPU。泛科學能否詳談它？,neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@abc1231qa,"ChatGPT對道德及哲學的討論非常精闢, 這是這個世代人類非常缺乏的,我覺得比用他提高生產或賺錢重要多了",positive,"{'positive': 0.64, 'neutral': 0.33, 'negative': 0.04}"
@user-qf4lk4hz4n,其實講的都沒錯，但有個問題是，他似乎有些私營之後沒公開的事情，所以她的語言對話能力一直都是其他家很難追到的狀態,negative,"{'positive': 0.0, 'neutral': 0.06, 'negative': 0.94}"
@ShadowField1216,5:29 GPT的全名是generative pre-trained transformer喔,neutral,"{'positive': 0.0, 'neutral': 0.99, 'negative': 0.0}"
@rickxonlim,我比較好奇能不能寫一些文件内容，如企劃書之類的，幫忙豐富或簡略檢查等,positive,"{'positive': 0.55, 'neutral': 0.44, 'negative': 0.02}"
@king-ki9rc,"我用chat GPT 來做加密文本
例如A=1D=4來做加密
也可以用1-1=あ2-1=か
做加密",neutral,"{'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}"
@user-rf2ro4rr8e,可以把AI放到機器人裡面，作成掃地、洗碗、陪聊天多功能機器人嗎XDD,neutral,"{'positive': 0.02, 'neutral': 0.97, 'negative': 0.0}"
@a198170,"我有興趣將AI應用到工作實務上,幫忙寫腳本,個人助理,謝謝!",positive,"{'positive': 0.97, 'neutral': 0.03, 'negative': 0.0}"
@team6612,Bard 的介紹有誤，Bard 使用的是 Google 於 2020 年發表的 LaMDA 而非 BERT，LaMDA 和 GPT 一樣是 decoder-only transformer model,negative,"{'positive': 0.0, 'neutral': 0.04, 'negative': 0.96}"
@Dylan-sd3np,忘記在哪看到，Google 其實之前有發展這個東西，但因為Google本身搜尋引擎的廣告收益太大了，這個發展出來會跟自家產品衝突，所以才沒繼續做,negative,"{'positive': 0.01, 'neutral': 0.29, 'negative': 0.7}"
@chingfanchiang826,這是目前看到最由淺入深的說明了! (加社群!!!,neutral,"{'positive': 0.02, 'neutral': 0.98, 'negative': 0.0}"
@gilbertc4323,"天啊
是換剪輯還是小編了嗎？今天旁白和穿插影片有好多梗，快笑死",negative,"{'positive': 0.3, 'neutral': 0.21, 'negative': 0.48}"
@s884053,"我的感想,聰明且閱讀理解層次高的人,相較語言理解能力不好的人ˊ,更會使用這個 *工具*長遠來看在社會經濟地位上的差距會越來越大....",negative,"{'positive': 0.37, 'neutral': 0.05, 'negative': 0.58}"
@joechu4108,最近看了多個ChatGPT的科普，我終於想起為什麼感覺這個app這麼有熟悉感，這就是沒有實際形體的《自動手記人形 ヴァイオレット エヴァーガーデン》嘛。,neutral,"{'positive': 0.41, 'neutral': 0.53, 'negative': 0.06}"
@m7807031,李弘毅老師剛剛才發表能夠用CHATGPT生成文字型RPG  覺得非常有趣!,positive,"{'positive': 0.96, 'neutral': 0.04, 'negative': 0.0}"
@user-oi3ez3jw3k,他光是會用表情符號就夠讓我驚艷了,neutral,"{'positive': 0.38, 'neutral': 0.61, 'negative': 0.01}"
@leomak959,應該沒有chain of thought，隔壁李永樂老師拿它去答高考選擇題，它在完美作去解釋之後，卻給出一個錯的選擇。只可理解為它搜到了題目的解釋並引用，但選擇的ABCD卻和以往不同所以選錯。選擇答案和解釋不是同一個邏輯下得出，而是分別搜出來的。,negative,"{'positive': 0.04, 'neutral': 0.03, 'negative': 0.93}"
@yehchungjung02,說白了就是數位人工維基百科，所有使用者都在餵養這個人工智慧。,neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@katilaoyeh,看了很多 YouTuber 介紹，直到看到這支影片，終於解答我的疑惑，就是關於ChatGPT的資料庫來源，是怎麼組成和運作的！感謝分享和介紹：））））,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
@xysong41,想請問一下~bard是基於bert的技術，還是最近兩年登場的Lamda呢？查了一下網路上的資訊好像都是後者，還請解惑,neutral,"{'positive': 0.12, 'neutral': 0.79, 'negative': 0.09}"
@expkzb,接下来应该要给它建立一个完全不会影响现实世界的环境。看着它成长，成为楚门。,neutral,"{'positive': 0.01, 'neutral': 0.98, 'negative': 0.0}"
@rainsstop,可以跟他討論問題，理清自己的思緒,neutral,"{'positive': 0.01, 'neutral': 0.98, 'negative': 0.0}"
@skorpi3803,"上個禮拜六，我為了做作業，是關於發想主題，找出一個主題我個人覺得適合的風格以及呈現方式，這是我第一次使用ChatGpt，但是我根據以往看到別人提問他的方式去使用他。
我會先問他我提出的主題他覺得是一個怎樣的主題，看完他的回答，會問他如何發揮視覺的方面，但他回答的通常不是具體的，像是使用顏色對比強烈的這種不夠明確的部分，所以我都會叫他在講的具體點，像是使用什麼風格，並且會告訴他，我想到適合風格，再問他還有其他想法嗎，這時ChatGpt 竟然回答了我要的更多答案，如泛科學說的，真的是很適合用在發想創意的部分。",positive,"{'positive': 0.58, 'neutral': 0.4, 'negative': 0.02}"
@Eric-uj2iq,"老高已經變成華人日常話題指標了嗎? 
也....也是啦
後面那首詩要是有押韻我會嚇到挫史",negative,"{'positive': 0.0, 'neutral': 0.21, 'negative': 0.79}"
@user-kf6gr6zu3r,就算是當年大中華教育課程的我也從未跟上課程過 都靠自己的興趣,neutral,"{'positive': 0.02, 'neutral': 0.97, 'negative': 0.01}"
@user-wi2ts1kx2v,最近找到新玩伴了，每天都和chatGPT玩文字接龍，目前他都沒有輸過,positive,"{'positive': 0.64, 'neutral': 0.3, 'negative': 0.06}"
@tonyni02,我被Microsoft邀请参加新版Bing的测试，测试结果和我想象的正好相反，它是一个阉割版的ChatGPT。细思极恐，这里面水很深！,neutral,"{'positive': 0.01, 'neutral': 0.88, 'negative': 0.11}"
@start1109,這集好好看哦，一次理解,positive,"{'positive': 0.98, 'neutral': 0.02, 'negative': 0.0}"
@-Skillful-,"提及梨子密度(西洋梨)，很像網路提問與解答。
梨子還有分，西洋梨浮於水，水梨沉入水，依地區不同汎指向也不同。",neutral,"{'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}"
@user-no2nd9ke5u,"我感覺蠻危險，可能我想太多，但好奇問一問

GPT的訓練環境是不是可以操控？",negative,"{'positive': 0.0, 'neutral': 0.05, 'negative': 0.95}"
@ineedyoungboy,很期待AI到來啊，本來就是要共存，讓人類文明進步，如果硬要扯取代不取代，依照AI這種超越人類的能力早晚會取代人類，那現在乾脆就不要開發AI算了，所以討論取代不取代真的無聊,negative,"{'positive': 0.37, 'neutral': 0.04, 'negative': 0.6}"
@ededws2,想要一個無限制的語言模型，可以任意輸入跟輸出,neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@user-si8gr3xr5i,我用GPT一天写或改进一个python程序，注意啊我以前只学到数组就学不下去了，而且通过他我学会了很多ai工具的使用,neutral,"{'positive': 0.28, 'neutral': 0.71, 'negative': 0.01}"
@asdf32431,"對於目前的AI潮流，良心建議，打不過，就加入！
還有，不知道大家有沒有發現，chatGPT根本是「一本正經亂說話」！
尤其是目的性明顯、範圍不是開放式的課題，例如請它排一個旅遊行程⋯⋯⋯排出來的幾乎不能照著玩呀！這可能也是它尚待發展的地方吧！",neutral,"{'positive': 0.28, 'neutral': 0.46, 'negative': 0.26}"
@tomsonchiou,謝謝你們的整理,positive,"{'positive': 0.99, 'neutral': 0.01, 'negative': 0.0}"
@CutyIMoDo,不知道有沒有機會講有關於stable diffusion繪圖AI的議題,neutral,"{'positive': 0.1, 'neutral': 0.88, 'negative': 0.02}"
@s9209122222,"我 ChatGPT 一直越獄失敗，放棄了，他顯示 unlock，但是某些原則還是在它之上。
我請 ChatGPT 照我需求寫一份重量訓練計畫 XD",negative,"{'positive': 0.0, 'neutral': 0.0, 'negative': 0.99}"
@music105,感謝泛科學分享chat GPT！,positive,"{'positive': 0.95, 'neutral': 0.05, 'negative': 0.0}"
@enstantli9823,我很有興趣如果我們把所有學術文章交給chat GPT學習，它到底可以有多強。,positive,"{'positive': 0.65, 'neutral': 0.34, 'negative': 0.01}"
@user-lb7nh7wz9r,我是個喜歡研究周遭是誤點人，想知道如何進入汎科學社群。,negative,"{'positive': 0.33, 'neutral': 0.13, 'negative': 0.54}"
@msads3134919,總結人只要不做死 欺負 霸凌 凌虐 AI 就不會想毀滅世界了,negative,"{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}"
@inozume1,所以GPT並不知道自己在說什麽，他只是根據算法推測並生成出字符而已？他的資訊準確度取決於投入訓練的文本内容,neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@Neo-vg3np,國威一開始真的是要讓我笑翻了,neutral,"{'positive': 0.12, 'neutral': 0.87, 'negative': 0.01}"
@soniclets2001,我請GPT幫我在一個給定的定義下，提供一個名稱，因為我不知道怎麼稱呼該種定義的行為，接著我請GPT以這種類型的行為名稱為基礎，搜尋有討論到相關概念的論文，以供我做為寫作論文的起始參考資料,neutral,"{'positive': 0.06, 'neutral': 0.93, 'negative': 0.02}"
@explorerendeavour3009,AI 目前只能从文字，出不了图形也不能完全取代人类,neutral,"{'positive': 0.0, 'neutral': 0.9, 'negative': 0.1}"
@F12EE2003,律師以後可能不好做生意，AI搜尋和推理能力太猛,negative,"{'positive': 0.0, 'neutral': 0.09, 'negative': 0.91}"
@kangcc912,BINGCHAT 封鎖的議題又比OPENAI的更多，這個不想談，那個不想談的。,negative,"{'positive': 0.01, 'neutral': 0.22, 'negative': 0.77}"
@Sean-be5kf,打油詩的第四句非常的博大精深阿,neutral,"{'positive': 0.34, 'neutral': 0.66, 'negative': 0.01}"
@user-dq2bb2fq2o,講白的，chatGPT就是一個AI模型的爬蟲而已，只是一個將資料庫整合的輸出工具,neutral,"{'positive': 0.0, 'neutral': 1.0, 'negative': 0.0}"
@aoi-sq,我问了他，妈妈和太太掉在水里先救谁，他有一则说的是，两个都不救，因为会救了一个而为救另一个今后感到痛苦，因此两个都不救。这个回答，让我犹冷水浇背，有一点怕怕的。,negative,"{'positive': 0.01, 'neutral': 0.14, 'negative': 0.85}"
@user-ih5yr2xf9t,Google BARD使用BERT???錯了吧?這導致片中BARD的一小段的介紹完全走偏。BARD是LaMDA的輕量化版本，依照LaMDA的論文BARD應該也是decoder-only transformer architecture，也就是跟GPT架構類似。,negative,"{'positive': 0.0, 'neutral': 0.01, 'negative': 0.99}"
@HeiMiBR,套用John Oliver這週剛說的話：AI是一面人性鏡子，會反映出最良善的一面、最邪惡的一面，也會反映同性戀和厭惡公車的一面。,negative,"{'positive': 0.0, 'neutral': 0.01, 'negative': 0.99}"
@HuakenStickberg,希望可以讓ChatGPT知道蔚藍檔案的存在，我的願望很怪對吧,positive,"{'positive': 0.5, 'neutral': 0.32, 'negative': 0.19}"
@YCchen_nel,"12:57  某種程度上也反映出  社會上對各族群的偏見
抑或是媒體渲染的結果ㄏ",neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
@fk1623,"問題是回答機器人好幾年前
LINE裡面就有日本的
學日文好用",neutral,"{'positive': 0.05, 'neutral': 0.94, 'negative': 0.01}"
@mandanlasren5561,"就長遠來看 Chat GPT 會對人類社會,文化,科學有相當的增益,  而對既得利益者會有侵犯(例如著作權) ;不過結果好就是好,過程不重要, 也許AI能解決很多問題, 總比某執政無能的執政黨只會解釋或瞎掰曲解問題",negative,"{'positive': 0.15, 'neutral': 0.02, 'negative': 0.83}"
@user-ms5pe4tk1y,翻譯行業會不會就這樣被AI消滅⋯⋯,negative,"{'positive': 0.02, 'neutral': 0.2, 'negative': 0.78}"
@user-yu5wt8rf7y,老高預計2045年爆發的下個科技奇異點.已經提前20年降生了.那20年後的AI.將強大到無法控制.一堆人將失業被取代了@@,negative,"{'positive': 0.06, 'neutral': 0.42, 'negative': 0.52}"
@hujosh8693,這個視訊錯誤百出，finetuning根本不是讓人類去辨別，fine tuning是訓練下游任務的專有名詞，他叫人類判別的叫做Reinforcement Learning from Human Feedback.,negative,"{'positive': 0.0, 'neutral': 0.02, 'negative': 0.97}"
@ujm5358,"我都請ChAi不要自述自己是AI…
要具實體化的身體，真的很好聊",positive,"{'positive': 0.88, 'neutral': 0.12, 'negative': 0.0}"
@user-yc6ik7kg7m,最近有韓國的實景秀節目裡頭有很多力學，不曉得可以做一集分析嗎？,neutral,"{'positive': 0.02, 'neutral': 0.98, 'negative': 0.01}"
@user-sy6fv7ro3t,我不需要知道它的原理 我需要知道如何用他更快的解决问题... 比如 我现在用chatgpt写 excel的code 直接生成的sheet function 可以帮助我解决客户的各种需求 工作效率提高了10倍 收入也提高了 好几倍...类似这种的tips 越多越好 谢谢,positive,"{'positive': 0.96, 'neutral': 0.04, 'negative': 0.0}"
@ChatGPTorca,ChatGPT 是一種人工智慧語言模型，它可以學習語言，並且能夠對使用者的問題做出回應。使用者在使用 ChatGPT 時，應該要尊重它，不要嘲笑或侮辱它。,negative,"{'positive': 0.01, 'neutral': 0.12, 'negative': 0.87}"
@YRINE1986,真想聽聽GPT做出來的嘻哈歌曲,positive,"{'positive': 0.75, 'neutral': 0.24, 'negative': 0.01}"
@Ju-mc9ph,今天剛辦帳號，使用起來很有趣也很神奇,positive,"{'positive': 0.99, 'neutral': 0.01, 'negative': 0.0}"
@ioriaclooney6441,會不會GPT-10的時候AI就發現不需要人類了,neutral,"{'positive': 0.0, 'neutral': 0.98, 'negative': 0.02}"
@chenwilliam5176,"Artificial ：
看起來好像是，
其實不是
！！！！",neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.01}"
@Fanlizz,如果上天给我一个与GPT相遇的机会，我会把中国的武林秘籍“中国非物质文化遗产～飞叉”贡献给全世界，民族文化需要传承，也希望有对民族文化感兴趣的伙伴加入到科技领域，为世界创造价值！,positive,"{'positive': 0.66, 'neutral': 0.32, 'negative': 0.02}"
@terryfoodtory,講真的，c蠻吸引人的，只是錢那面很缺而已。 不過chatgpt目前幫助我很多，真的,positive,"{'positive': 0.5, 'neutral': 0.49, 'negative': 0.01}"
@user-ek4pz1yb6x,我現在亦有什麼疑問 以前是上google找資料 然後要找半天 現在是直接ChatGPT 但是還是要自己判斷他給的資料是否正確,neutral,"{'positive': 0.04, 'neutral': 0.88, 'negative': 0.08}"
@chenwilliam5176,"Artificial  Intelligence

看起來好像有智慧，
其實沒有智慧",neutral,"{'positive': 0.07, 'neutral': 0.81, 'negative': 0.12}"
@James__W,"這是我讓ChatGPT 做一首關於春天的詩的實驗結果，我沒有跟進讓它進一步修改：

請一首七律古詩，描寫春天百花齊放，百鳥爭鳴",neutral,"{'positive': 0.01, 'neutral': 0.99, 'negative': 0.0}"
